Title	yearRelease	Rating	Cast	Votes	Link	no.Votes	movieURL	Director	Cast1	Cast2
A Beautiful Mind	2001	8.2	Ron Howard (dir.), Russell Crowe, Ed Harris	8.2 based on 690,837 user ratings	http://www.imdb.com/title/tt0268978/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_146	690837	[Movie URL](http://www.imdb.com/title/tt0268978/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_146)	Ron Howard	Russell Crowe	Ed Harris
Casino	1995	8.2	Martin Scorsese (dir.), Robert De Niro, Sharon Stone	8.2 based on 372,146 user ratings	http://www.imdb.com/title/tt0112641/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_147	372146	[Movie URL](http://www.imdb.com/title/tt0112641/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_147)	Martin Scorsese	Robert De Niro	Sharon Stone
Blade Runner	1982	8.2	Ridley Scott (dir.), Harrison Ford, Rutger Hauer	8.2 based on 547,396 user ratings	http://www.imdb.com/title/tt0083658/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_148	547396	[Movie URL](http://www.imdb.com/title/tt0083658/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_148)	Ridley Scott	Harrison Ford	Rutger Hauer
The Elephant Man	1980	8.1	David Lynch (dir.), Anthony Hopkins, John Hurt	8.1 based on 180,421 user ratings	http://www.imdb.com/title/tt0080678/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_149	180421	[Movie URL](http://www.imdb.com/title/tt0080678/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_149)	David Lynch	Anthony Hopkins	John Hurt
V for Vendetta	2005	8.1	James McTeigue (dir.), Hugo Weaving, Natalie Portman	8.1 based on 876,396 user ratings	http://www.imdb.com/title/tt0434409/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_150	876396	[Movie URL](http://www.imdb.com/title/tt0434409/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_150)	James McTeigue	Hugo Weaving	Natalie Portman
Smultronstället	1957	8.1	Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson	8.1 based on 71,294 user ratings	http://www.imdb.com/title/tt0050986/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_151	71294	[Movie URL](http://www.imdb.com/title/tt0050986/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_151)	Ingmar Bergman	Victor Sjöström	Bibi Andersson
The Wolf of Wall Street	2013	8.1	Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill	8.1 based on 909,516 user ratings	http://www.imdb.com/title/tt0993846/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_152	909516	[Movie URL](http://www.imdb.com/title/tt0993846/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_152)	Martin Scorsese	Leonardo DiCaprio	Jonah Hill
The General	1926	8.1	Clyde Bruckman (dir.), Buster Keaton, Marion Mack	8.1 based on 60,660 user ratings	http://www.imdb.com/title/tt0017925/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_153	60660	[Movie URL](http://www.imdb.com/title/tt0017925/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_153)	Clyde Bruckman	Buster Keaton	Marion Mack
Warrior	2011	8.1	Gavin O'Connor (dir.), Tom Hardy, Nick Nolte	8.1 based on 369,137 user ratings	http://www.imdb.com/title/tt1291584/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_154	369137	[Movie URL](http://www.imdb.com/title/tt1291584/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_154)	Gavin O'Connor	Tom Hardy	Nick Nolte
Dial M for Murder	1954	8.1	Alfred Hitchcock (dir.), Ray Milland, Grace Kelly	8.1 based on 121,929 user ratings	http://www.imdb.com/title/tt0046912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_155	121929	[Movie URL](http://www.imdb.com/title/tt0046912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_155)	Alfred Hitchcock	Ray Milland	Grace Kelly
