Title	yearRelease	Rating	Cast	Votes	Link	no.Votes	movieURL	Director	Cast1	Cast2
The Lord of the Rings: The Fellowship of the Ring	2001	8.8	Peter Jackson (dir.), Elijah Wood, Ian McKellen	8.8 based on 1,366,742 user ratings	http://www.imdb.com/title/tt0120737/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_11	1366742	[ url](http://www.imdb.com/title/tt0120737/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_11)	Peter Jackson	Elijah Wood	Ian McKellen
Forrest Gump	1994	8.7	Robert Zemeckis (dir.), Tom Hanks, Robin Wright	8.7 based on 1,421,810 user ratings	http://www.imdb.com/title/tt0109830/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_12	1421810	[ url](http://www.imdb.com/title/tt0109830/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_12)	Robert Zemeckis	Tom Hanks	Robin Wright
Star Wars: Episode V - The Empire Strikes Back	1980	8.7	Irvin Kershner (dir.), Mark Hamill, Harrison Ford	8.7 based on 940,371 user ratings	http://www.imdb.com/title/tt0080684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_13	940371	[ url](http://www.imdb.com/title/tt0080684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_13)	Irvin Kershner	Mark Hamill	Harrison Ford
Inception	2010	8.7	Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt	8.7 based on 1,649,264 user ratings	http://www.imdb.com/title/tt1375666/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_14	1649264	[ url](http://www.imdb.com/title/tt1375666/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_14)	Christopher Nolan	Leonardo DiCaprio	Joseph Gordon-Levitt
The Lord of the Rings: The Two Towers	2002	8.7	Peter Jackson (dir.), Elijah Wood, Ian McKellen	8.7 based on 1,218,755 user ratings	http://www.imdb.com/title/tt0167261/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_15	1218755	[ url](http://www.imdb.com/title/tt0167261/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_15)	Peter Jackson	Elijah Wood	Ian McKellen
One Flew Over the Cuckoo's Nest	1975	8.7	Milos Forman (dir.), Jack Nicholson, Louise Fletcher	8.7 based on 752,265 user ratings	http://www.imdb.com/title/tt0073486/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_16	752265	[ url](http://www.imdb.com/title/tt0073486/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_16)	Milos Forman	Jack Nicholson	Louise Fletcher
Goodfellas	1990	8.7	Martin Scorsese (dir.), Robert De Niro, Ray Liotta	8.7 based on 811,957 user ratings	http://www.imdb.com/title/tt0099685/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_17	811957	[ url](http://www.imdb.com/title/tt0099685/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_17)	Martin Scorsese	Robert De Niro	Ray Liotta
The Matrix	1999	8.7	Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne	8.7 based on 1,355,477 user ratings	http://www.imdb.com/title/tt0133093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_18	1355477	[ url](http://www.imdb.com/title/tt0133093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_18)	Lana Wachowski	Keanu Reeves	Laurence Fishburne
Shichinin no samurai	1954	8.6	Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura	8.6 based on 253,902 user ratings	http://www.imdb.com/title/tt0047478/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_19	253902	[ url](http://www.imdb.com/title/tt0047478/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_19)	Akira Kurosawa	Toshirô Mifune	Takashi Shimura
Star Wars	1977	8.6	George Lucas (dir.), Mark Hamill, Harrison Ford	8.6 based on 1,012,629 user ratings	http://www.imdb.com/title/tt0076759/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_20	1012629	[ url](http://www.imdb.com/title/tt0076759/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_20)	George Lucas	Mark Hamill	Harrison Ford
Cidade de Deus	2002	8.6	Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino	8.6 based on 586,539 user ratings	http://www.imdb.com/title/tt0317248/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_21	586539	[ url](http://www.imdb.com/title/tt0317248/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_21)	Fernando Meirelles	Alexandre Rodrigues	Leandro Firmino
Se7en	1995	8.6	David Fincher (dir.), Morgan Freeman, Brad Pitt	8.6 based on 1,149,155 user ratings	http://www.imdb.com/title/tt0114369/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_22	1149155	[ url](http://www.imdb.com/title/tt0114369/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_22)	David Fincher	Morgan Freeman	Brad Pitt
The Silence of the Lambs	1991	8.6	Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins	8.6 based on 1,003,334 user ratings	http://www.imdb.com/title/tt0102926/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_23	1003334	[ url](http://www.imdb.com/title/tt0102926/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_23)	Jonathan Demme	Jodie Foster	Anthony Hopkins
It's a Wonderful Life	1946	8.6	Frank Capra (dir.), James Stewart, Donna Reed	8.6 based on 311,480 user ratings	http://www.imdb.com/title/tt0038650/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_24	311480	[ url](http://www.imdb.com/title/tt0038650/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_24)	Frank Capra	James Stewart	Donna Reed
La vita è bella	1997	8.6	Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi	8.6 based on 483,432 user ratings	http://www.imdb.com/title/tt0118799/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_25	483432	[ url](http://www.imdb.com/title/tt0118799/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_25)	Roberto Benigni	Roberto Benigni	Nicoletta Braschi
The Usual Suspects	1995	8.6	Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne	8.6 based on 823,778 user ratings	http://www.imdb.com/title/tt0114814/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_26	823778	[ url](http://www.imdb.com/title/tt0114814/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_26)	Bryan Singer	Kevin Spacey	Gabriel Byrne
Léon	1994	8.5	Luc Besson (dir.), Jean Reno, Gary Oldman	8.5 based on 817,657 user ratings	http://www.imdb.com/title/tt0110413/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_27	817657	[ url](http://www.imdb.com/title/tt0110413/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_27)	Luc Besson	Jean Reno	Gary Oldman
Saving Private Ryan	1998	8.5	Steven Spielberg (dir.), Tom Hanks, Matt Damon	8.5 based on 991,455 user ratings	http://www.imdb.com/title/tt0120815/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_28	991455	[ url](http://www.imdb.com/title/tt0120815/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_28)	Steven Spielberg	Tom Hanks	Matt Damon
Sen to Chihiro no kamikakushi	2001	8.5	Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette	8.5 based on 484,150 user ratings	http://www.imdb.com/title/tt0245429/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_29	484150	[ url](http://www.imdb.com/title/tt0245429/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_29)	Hayao Miyazaki	Daveigh Chase	Suzanne Pleshette
American History X	1998	8.5	Tony Kaye (dir.), Edward Norton, Edward Furlong	8.5 based on 867,168 user ratings	http://www.imdb.com/title/tt0120586/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_30	867168	[ url](http://www.imdb.com/title/tt0120586/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_30)	Tony Kaye	Edward Norton	Edward Furlong
Once Upon a Time in the West	1968	8.5	Sergio Leone (dir.), Henry Fonda, Charles Bronson	8.5 based on 242,215 user ratings	http://www.imdb.com/title/tt0064116/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_31	242215	[ url](http://www.imdb.com/title/tt0064116/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_31)	Sergio Leone	Henry Fonda	Charles Bronson
Interstellar	2014	8.5	Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway	8.5 based on 1,115,898 user ratings	http://www.imdb.com/title/tt0816692/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_32	1115898	[ url](http://www.imdb.com/title/tt0816692/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_32)	Christopher Nolan	Matthew McConaughey	Anne Hathaway
The Green Mile	1999	8.5	Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan	8.5 based on 892,360 user ratings	http://www.imdb.com/title/tt0120689/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_33	892360	[ url](http://www.imdb.com/title/tt0120689/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_33)	Frank Darabont	Tom Hanks	Michael Clarke Duncan
Psycho	1960	8.5	Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh	8.5 based on 475,508 user ratings	http://www.imdb.com/title/tt0054215/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_34	475508	[ url](http://www.imdb.com/title/tt0054215/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_34)	Alfred Hitchcock	Anthony Perkins	Janet Leigh
Casablanca	1942	8.5	Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman	8.5 based on 429,055 user ratings	http://www.imdb.com/title/tt0034583/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_35	429055	[ url](http://www.imdb.com/title/tt0034583/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_35)	Michael Curtiz	Humphrey Bogart	Ingrid Bergman
City Lights	1931	8.5	Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill	8.5 based on 125,340 user ratings	http://www.imdb.com/title/tt0021749/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_36	125340	[ url](http://www.imdb.com/title/tt0021749/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_36)	Charles Chaplin	Charles Chaplin	Virginia Cherrill
The Intouchables	2011	8.5	Olivier Nakache (dir.), François Cluzet, Omar Sy	8.5 based on 589,019 user ratings	http://www.imdb.com/title/tt1675434/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_37	589019	[ url](http://www.imdb.com/title/tt1675434/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_37)	Olivier Nakache	François Cluzet	Omar Sy
Modern Times	1936	8.5	Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard	8.5 based on 164,691 user ratings	http://www.imdb.com/title/tt0027977/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_38	164691	[ url](http://www.imdb.com/title/tt0027977/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_38)	Charles Chaplin	Charles Chaplin	Paulette Goddard
Coco	2017	8.5	Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal	8.5 based on 27,921 user ratings	http://www.imdb.com/title/tt2380307/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_39	27921	[ url](http://www.imdb.com/title/tt2380307/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_39)	Lee Unkrich	Anthony Gonzalez	Gael García Bernal
The Pianist	2002	8.5	Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann	8.5 based on 566,266 user ratings	http://www.imdb.com/title/tt0253474/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_40	566266	[ url](http://www.imdb.com/title/tt0253474/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_40)	Roman Polanski	Adrien Brody	Thomas Kretschmann
Raiders of the Lost Ark	1981	8.5	Steven Spielberg (dir.), Harrison Ford, Karen Allen	8.5 based on 731,436 user ratings	http://www.imdb.com/title/tt0082971/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_41	731436	[ url](http://www.imdb.com/title/tt0082971/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_41)	Steven Spielberg	Harrison Ford	Karen Allen
The Departed	2006	8.5	Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon	8.5 based on 973,314 user ratings	http://www.imdb.com/title/tt0407887/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_42	973314	[ url](http://www.imdb.com/title/tt0407887/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_42)	Martin Scorsese	Leonardo DiCaprio	Matt Damon
Rear Window	1954	8.5	Alfred Hitchcock (dir.), James Stewart, Grace Kelly	8.5 based on 354,657 user ratings	http://www.imdb.com/title/tt0047396/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_43	354657	[ url](http://www.imdb.com/title/tt0047396/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_43)	Alfred Hitchcock	James Stewart	Grace Kelly
Terminator 2: Judgment Day	1991	8.5	James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton	8.5 based on 822,628 user ratings	http://www.imdb.com/title/tt0103064/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_44	822628	[ url](http://www.imdb.com/title/tt0103064/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_44)	James Cameron	Arnold Schwarzenegger	Linda Hamilton
Back to the Future	1985	8.5	Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd	8.5 based on 827,503 user ratings	http://www.imdb.com/title/tt0088763/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_45	827503	[ url](http://www.imdb.com/title/tt0088763/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_45)	Robert Zemeckis	Michael J. Fox	Christopher Lloyd
Whiplash	2014	8.5	Damien Chazelle (dir.), Miles Teller, J.K. Simmons	8.5 based on 514,917 user ratings	http://www.imdb.com/title/tt2582802/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_46	514917	[ url](http://www.imdb.com/title/tt2582802/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_46)	Damien Chazelle	Miles Teller	J.K. Simmons
Gladiator	2000	8.5	Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix	8.5 based on 1,093,227 user ratings	http://www.imdb.com/title/tt0172495/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_47	1093227	[ url](http://www.imdb.com/title/tt0172495/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_47)	Ridley Scott	Russell Crowe	Joaquin Phoenix
The Prestige	2006	8.5	Christopher Nolan (dir.), Christian Bale, Hugh Jackman	8.5 based on 956,581 user ratings	http://www.imdb.com/title/tt0482571/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_48	956581	[ url](http://www.imdb.com/title/tt0482571/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_48)	Christopher Nolan	Christian Bale	Hugh Jackman
The Lion King	1994	8.5	Roger Allers (dir.), Matthew Broderick, Jeremy Irons	8.5 based on 733,548 user ratings	http://www.imdb.com/title/tt0110357/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_49	733548	[ url](http://www.imdb.com/title/tt0110357/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=17T5EW2G4GS5GNYVYC76&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_49)	Roger Allers	Matthew Broderick	Jeremy Irons
